role,coverage,components,lines,bytes,score,path,root,title
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",759,30302,1670,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/AXES_0_6_AND_CONSTRAINT_MANIFOLD_EXPLICIT_ATLAS copy.md,wiki-raw-system-v5-reference-docs,Axes 0 Through 6 And Constraint Manifold Explicit Atlas
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",4133,150123,1642,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/BOOTPACKS/MEGABOOT_RATCHET_SUITE_v7.4.2-PROJECTS copy.md,wiki-raw-system-v5-reference-docs,MEGABOOT_RATCHET_SUITE v7.4.2-PROJECTS
wiki raw source copy,content-scanned,"cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",337,30689,1535,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/MODEL_CONTEXT copy.md,wiki-raw-system-v5-reference-docs,MODEL CONTEXT (LLM interpretation — higher entropy than INTENT_SUMMARY)
wiki raw source copy,content-scanned,"cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",337,30689,1535,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/MODEL_CONTEXT copy.md,wiki-raw-system-v5-reference-docs,MODEL CONTEXT (LLM interpretation — higher entropy than INTENT_SUMMARY)
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",2592,65182,1444,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/lev_nonclassical_runtime_design_audited.md,wiki-raw-system-v5-reference-docs,Retooling External Methods into a Nonclassical Topological Runtime for Lev
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",184,15419,1420,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/outdated system math and geometry.md,wiki-raw-system-v5-reference-docs,Formalized math of system
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",264,13660,1384,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Weyl Flux.md,wiki-raw-system-v5-reference-docs,Weyl flux test
wiki raw source copy,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",1956,67452,1344,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/BOOTPACKS/BOOTPACK_THREAD_B_v3.9.13.md,wiki-raw-system-v5-reference-docs,BEGIN BOOTPACK_THREAD_B v3.9.13
wiki raw source copy,content-scanned,"cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",876,117445,1326,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/The Grandmaster of the Universe copy.docx (1).md,wiki-raw-legacy-books,
wiki raw source copy,content-scanned,"entropic_root,axes_engine,spacetime_gravity",1157,121536,1308,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/Joshua Personality Model v1.1.txt,wiki-raw-legacy-books,﻿Emotional Evolution Personality System: A  White Paper
wiki raw source copy,content-scanned,"entropic_root,axes_engine,spacetime_gravity",1157,121536,1308,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/joshua-personality-model-v1-1.txt,wiki-raw-legacy-books,﻿Emotional Evolution Personality System: A  White Paper
wiki raw source copy,content-scanned,"carrier,axes_engine",375,17863,1132,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/ENGINE_64_SCHEDULE_ATLAS copy.md,wiki-raw-system-v5-reference-docs,ENGINE 64-SCHEDULE ATLAS
wiki raw source copy,content-scanned,"carrier,axes_engine",375,17863,1132,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/ENGINE_64_SCHEDULE_ATLAS.md,wiki-raw-system-v5-reference-docs,ENGINE 64-SCHEDULE ATLAS
wiki raw source copy,content-scanned,"direct_model,axes_engine,spacetime_gravity",2378,892991,1130,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/leviathan-v3-2-word.txt,wiki-raw-legacy-books,The Leviathan Framework
wiki raw source copy,content-scanned,"direct_model,axes_engine,spacetime_gravity",2205,281022,1130,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/Leviathan v3.2 word.txt,wiki-raw-system-v5-reference-docs,The Leviathan Framework
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",93,5837,1130,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Pre Entropy tables.md,wiki-raw-system-v5-reference-docs,Pre entropy  tables:
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",170,9482,1060,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Pre axies math and geometry work out.md,wiki-raw-system-v5-reference-docs,Pre axis machines work out
wiki raw source copy,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",356,19174,864,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/CS version of system first draft.md,wiki-raw-system-v5-reference-docs,CS version of system first draft.
wiki raw source copy,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",1409,50449,864,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/BOOTPACKS/BOOTPACK_THREAD_S_v1.64.md,wiki-raw-system-v5-reference-docs,BEGIN BOOTPACK_THREAD_S v1.64
wiki raw source copy,content-scanned,"carrier,axes_engine",426,19594,846,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/JUNGIAN_FUNCTIONS_AND_IGT_EXPLICIT_MATH_GEOMETRY_MAP copy.md,wiki-raw-system-v5-reference-docs,Jungian Functions And IGT Explicit Math And Geometry Map
wiki raw source copy,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",25,5180,794,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/MY INPUTS on Retrocausality.md,wiki-raw-system-v5-reference-docs,"so it seems the misssing thing with axis0 is that i have something like ""retro-causality"" for time. not a classical idea"
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",275,39163,718,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/SKILL_SOURCE_CORPUS.md,wiki-raw-system-v5-reference-docs,Skill Source Corpus
wiki raw source copy,content-scanned,"carrier,axes_engine",87,6955,710,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/TAIJITU_PROBE_RECONCILIATION_CARD copy.md,wiki-raw-system-v5-reference-docs,Taijitu Probe Reconciliation Card
wiki raw source copy,content-scanned,"carrier,axes_engine",451,12412,650,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/TAIJITU_AXES_0_6_EXPLICIT_SYMBOLIC_LAYER copy.md,wiki-raw-system-v5-reference-docs,Taijitu Axes 0 Through 6 Explicit Symbolic Layer
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",148,6889,584,"/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Contraint on Admisibility, ENTROPY tables, Entropic Monism.md",wiki-raw-system-v5-reference-docs,* there is only one primitive substance: constraint on distinguishability.
wiki raw source copy,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",829,32751,510,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/BOOTPACKS/BOOTPACK_THREAD_A_v2.60.md,wiki-raw-system-v5-reference-docs,BEGIN BOOTPACK_THREAD_A v2.60
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",449,21296,498,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/System tools and plan.md,wiki-raw-system-v5-reference-docs,**Current Truth**
wiki raw source copy,content-scanned,"carrier,axes_engine",188,10961,290,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/terrain rosetta strong math.md,wiki-raw-system-v5-reference-docs,Definitions
wiki raw source copy,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",161,5584,259,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/AXIS0_SPEC_OPTIONS_v0.3 copy.md,wiki-raw-system-v5-reference-docs,AXIS0_SPEC_OPTIONS v0.3
wiki raw source copy,content-scanned,"entropic_root,carrier,axes_engine",112,3850,242,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Rosetta Terrain Mapping.md,wiki-raw-system-v5-reference-docs,Yes. The clean parse rule is:
wiki raw source copy,content-scanned,"entropic_root,carrier,axes_engine",85,2942,180,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/iching axes rosetta.md,wiki-raw-system-v5-reference-docs,Iching axes pattern
wiki raw source copy,content-scanned,"carrier,axes_engine",175,8156,170,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/terrains.md,wiki-raw-system-v5-reference-docs,Definitions
quote/mining ledger,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",6002,1893204,19853,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/STRICT_MINING_LEDGER_6000_v1.csv,repo-ultra-high-entropy,"id,quote<=25w (verbatim),location,paraphrase,canon_destination,tag,compat,test_needed,batch"
quote/mining ledger,content-scanned,"direct_model,cosmology,entropic_root,axes_engine",91,3880,729,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/STRICT_MINING_LEDGER_INDEX_v1.md,repo-ultra-high-entropy,Strict Mining Ledger — Index & Search Guide (v1)
generated bootpack / source-local scaffold,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1433,54513,4097,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/EM_BOOTPACK_v8_0_01_BUNDLE1_AXIOMS_FOUNDATIONS.md,repo-ultra-high-entropy,UPLOAD BUNDLE 1 — Axioms + Foundations + Pure Math
generated bootpack / source-local scaffold,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1578,57143,4097,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/EM_BOOTPACK_v8_0_01_BUNDLE1_AXIOMS_FOUNDATIONS.md.txt,repo-ultra-high-entropy,﻿UPLOAD BUNDLE 1 — Axioms + Foundations + Pure Math
generated bootpack / source-local scaffold,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1033,38912,2080,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/EM_BOOTPACK_v8_0_02_BUNDLE2_ROSETTA_ENGINES.md,repo-ultra-high-entropy,UPLOAD BUNDLE 2 — Rosetta + Engines (pre‑IGT core)
generated bootpack / source-local scaffold,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1430,39389,2080,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/EM_BOOTPACK_v8_0_02_BUNDLE2_ROSETTA_ENGINES.md.txt,repo-ultra-high-entropy,﻿UPLOAD BUNDLE 2 — Rosetta + Engines (pre‑IGT core)
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,3481845,120,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/The Dark Empress-A Practical Guide to Universal Dominion V6.1 2 copy.pdf,wiki-raw-legacy-books,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,2339268,100,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/gemini toe summary volume 1-23.pdf,repo-ultra-high-entropy,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,169501,0,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/Leviathan v3.2 word.docx,repo-a2-high-entropy,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,68247,0,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/STRICT_MINING_BATCH01_600.docx,repo-ultra-high-entropy,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,381181,0,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/STRICT_MINING_COMPILED_10BATCHES_6000_v1.docx,repo-ultra-high-entropy,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,3207326,0,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/gemini axiom thread. from leviathan. saved. .pdf,repo-ultra-high-entropy,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,910395,0,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/gemini leviathan convo.pdf,repo-ultra-high-entropy,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,1422926,0,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/grok gemini save. .pages,repo-ultra-high-entropy,
opaque/binary candidate,filename-only (opaque/binary not content-scanned),,,9383183,0,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/grok rosetta stone.pdf,repo-ultra-high-entropy,
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",44462,1183799,15355,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/branchthread extract chat gpt.txt,repo-a2-high-entropy,system_v3.zip
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",75643,2105245,14219,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/gpt thread a1 trigram work out .txt,repo-a2-high-entropy,Skip to content
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",16015,941187,8396,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/gemini hexagram spinor arch.txt,repo-ultra-high-entropy,Hexagram Spinor Engine Architecture
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",4780,270961,7866,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/grok gemini having digested the model.md,repo-a2-high-entropy,* Imagine
part/support,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",17701,385011,7657,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/axes math. apple notes dump.txt,repo-a2-high-entropy,Axis 6 5 workout
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",11648,414771,7518,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/GPT 12_29 pro plan vs browser crashes.md,repo-ultra-high-entropy,[Skip to content](https://chatgpt.com/c/694644c5-5ff8-8329-95f2-33511c4b054d#main)
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",14356,413982,7518,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/GPT 12_29 pro plan vs browser crashes.md.txt,repo-ultra-high-entropy,Skip to content
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",10150,413688,7000,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/thread b save.txt,repo-a2-high-entropy,BOOT_ID: BOOTPACK_THREAD_B_v3.5.2
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",14808,446897,6077,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/A0 new thread save before sim run.md,repo-a2-high-entropy,Skip to content
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",3914,118727,5970,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/qit-igt-engine-valid-results-and-running-guide-2026-06-05.md,wiki-project-codex-ratchet,QIT / IGT Engine Valid Results And Running Guide
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",8044,532647,5734,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/_steward_questions.md,wiki-project-codex-ratchet,Codex-Ratchet Steward Questions
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",4528,287476,4682,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/Gemini eisenhart model rebooted. lost most of thread. doing grok axiom loading. .txt,repo-ultra-high-entropy,Eisenhart Model Rebooted: 6-Bit Core
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",367,43566,4564,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/holodeck-fep-igt-axis0-deep-content-correlation-2026-06-06.codex2-draft.md,wiki-project-codex-ratchet,Holodeck / FEP / IGT / Axis0 Deep Content Correlation
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",407,211793,4260,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/meta_audit.md,wiki-project-codex-ratchet,"Historical meta-audit log. Entries below are dated audit records, not current live-status claims."
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1447,47338,4104,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/qit-igt-source-corpus-ledger-2026-06-05.md,wiki-project-codex-ratchet,QIT / IGT Source Corpus Ledger
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1799,93828,4018,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/apple notes save. pre axex notes.txt,repo-a2-high-entropy,Ring Checkerboard
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",432,29925,3637,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/holodeck-fep-igt-axis0-research-matrix-2026-06-06.codex2-draft.md,wiki-project-codex-ratchet,Holodeck/FEP/IGT/Axis0 Research Matrix
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",715,39148,3620,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/ratchet-manifold-entropy-source-mining-ledger-2026-06-05.md,wiki-project-codex-ratchet,Ratchet / Manifold / Entropy Source-Mining Ledger
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",396,39264,3296,/Users/joshuaeisenhart/wiki/concepts/igt-axes-terrain-source-extraction-2026-06-04.md,wiki-concepts-current,IGT / Axes / Terrain Source Extraction
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",685,40297,3054,/Users/joshuaeisenhart/wiki/concepts/igt-pattern-explicit-math-reference.md,wiki-concepts-current,IGT Pattern And Constraint Ratchet — Explicit Math Reference
part/support,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",160,12379,3016,/Users/joshuaeisenhart/wiki/concepts/sim-math-geometry-result-surface-router.md,wiki-concepts-current,type: concept
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",401,17324,2078,/Users/joshuaeisenhart/wiki/concepts/field-wide-compression-probe-contract.md,wiki-concepts-current,Field Wide Compression Probe Contract
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",242,15996,2062,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/read-first.md,wiki-project-codex-ratchet,Codex Ratchet — Project Front Door
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",190,17840,1914,/Users/joshuaeisenhart/wiki/concepts/shell-local-to-coupled-program.md,wiki-concepts-current,Shell-Local to Shell-Coupled Research Program
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",443,41035,1852,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/referenced-theory-operational-geometry-correlation-2026-06-06.codex2-draft.md,wiki-project-codex-ratchet,Referenced Theory Operational Geometry Correlation
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",3133,102400,1826,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/holodeck docs.md.txt,repo-ultra-high-entropy,﻿Your projective holodeck model is a compelling synthesis of predictive coding (brain as a prediction machine that proje
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",2206,108333,1826,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/holodeck docs.md,repo-older-legacy,Your projective holodeck model is a compelling synthesis of predictive coding (brain as a prediction machine that projec
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",4259,158752,1808,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/BOOTPACKS/MEGABOOT_RATCHET_SUITE_v7.4.7-PROJECTS_PATCHED_CONSTRAINT_MANIFOLD copy.md,repo-older-legacy,MEGABOOT_RATCHET_SUITE v7.4.7-PROJECTS
part/support,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",721,46749,1744,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/INTENT_SUMMARY copy.md,repo-older-legacy,A2 INTENT SUMMARY
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",628,23141,1710,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_sim_suite_v1.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",4133,150123,1642,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/BOOTPACKS/MEGABOOT_RATCHET_SUITE_v7.4.2-PROJECTS copy.md,repo-older-legacy,MEGABOOT_RATCHET_SUITE v7.4.2-PROJECTS
part/support,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",541,24094,1616,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/holodeck-fep-igt-axis0-deep-content-correlation-2026-06-06.codex2-receipt.json,wiki-project-codex-ratchet,"""generated_by"": ""codex2"","
part/support,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",238,19310,1602,/Users/joshuaeisenhart/wiki/concepts/mmm-source-language-reservoir.md,wiki-concepts-current,MMM Source Language Reservoir
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",664,30407,1554,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/SIM_EVIDENCE_PACK_autogen_v2.txt,repo-a1-refined-fuel,BEGIN SIM_EVIDENCE v1
part/support,content-scanned,"cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",337,30689,1535,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/MODEL_CONTEXT copy.md,repo-older-legacy,MODEL CONTEXT (LLM interpretation — higher entropy than INTENT_SUMMARY)
part/support,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",243,9835,1520,/Users/joshuaeisenhart/wiki/concepts/jk-fuzz-field.md,wiki-concepts-current,JK Fuzz Field
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",2592,65182,1444,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/lev_nonclassical_runtime_design_audited.md,repo-older-legacy,Retooling External Methods into a Nonclassical Topological Runtime for Lev
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",142,11651,1393,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/grok toe redo save.txt,repo-a2-high-entropy,in my way of thinking j and k are just all the probability spaces. Can be reduced to 2. Might even be positive and negat
part/support,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",1956,67452,1344,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/BOOTPACKS/BOOTPACK_THREAD_B_v3.9.13.md,repo-older-legacy,BEGIN BOOTPACK_THREAD_B v3.9.13
part/support,content-scanned,"entropic_root,axes_engine,spacetime_gravity",1157,121536,1308,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/Joshua Personality Model v1.1.txt,repo-ultra-high-entropy,﻿Emotional Evolution Personality System: A  White Paper
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",135,6100,1284,/Users/joshuaeisenhart/wiki/concepts/claude-code-sim-inventory-2026-06-04.md,wiki-concepts-current,Claude Code Sim Inventory — 2026-06-04
part/support,content-scanned,"constraint_root,carrier,axes_engine",114,5420,1232,/Users/joshuaeisenhart/wiki/concepts/clifford-chirality-admissible-generators.md,wiki-concepts-current,Chirality-Admissible Cl(3) Generators
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",228,8487,1219,/Users/joshuaeisenhart/wiki/concepts/field-wide-compression-geometry.md,wiki-concepts-current,Field Wide Compression Geometry
part/support,content-scanned,"entropic_root,carrier,axes_engine",173,14158,1210,/Users/joshuaeisenhart/wiki/concepts/sim-run-catalogue-and-result-family-router.md,wiki-concepts-current,Sim Run Catalogue and Result Family Router
part/support,content-scanned,"constraint_root,carrier,axes_engine",209,17867,1172,/Users/joshuaeisenhart/wiki/concepts/g-structure-tower.md,wiki-concepts-current,G-Structure Tower
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",260,9982,1164,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_full_axis_suite.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",467,18624,1158,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_sim_suite_v2_full_axes.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"direct_model,axes_engine,spacetime_gravity",2205,281022,1130,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/Leviathan v3.2 word.txt,repo-older-legacy,The Leviathan Framework
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",388,16490,1124,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/eisenhart_rosetta_master_doc_vNext.md,repo-ultra-high-entropy,"Eisenhart Rosetta Master Doc vNext (No‑Drift, Quantum‑First)"
